$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    19.910,    5.70,
    19.931,    5.69,
    19.952,    5.68,
    19.973,    5.66,
    19.994,    5.65,
    20.015,    5.63,
    20.036,    5.62,
    20.057,    5.61,
    20.078,    5.60,
    20.099,    5.60,
    20.120,    5.59,
    20.141,    5.58,
    20.162,    5.57,
    20.183,    5.55,
    20.204,    5.52,
    20.225,    5.48,
    20.246,    5.46,
    20.267,    5.44,
    20.288,    5.42,
    20.309,    5.40,
    20.330,    5.38,
    20.351,    5.35,
    20.372,    5.33,
    20.393,    5.31,
    20.414,    5.29,
    20.435,    5.27,
    20.456,    5.26,
    20.477,    5.27,
    20.498,    5.28,
    20.519,    5.31,
    20.540,    5.35,
    20.561,    5.37,
    20.582,    5.41,
    20.603,    5.45,
    20.624,    5.50,
    20.645,    5.52,
    20.666,    5.54,
    20.687,    5.55,
    20.708,    5.56,
    20.729,    5.56,
    20.750,    5.56,
    20.771,    5.55,
    20.792,    5.53,
    20.813,    5.51,
    20.834,    5.50,
    20.855,    5.48,
    20.876,    5.47,
    20.897,    5.47,
    20.918,    5.46,
    20.939,    5.46,
    20.960,    5.46,
    20.981,    5.45,
    21.002,    5.45,
    21.023,    5.45,
    21.044,    5.44,
    21.065,    5.44,
    21.086,    5.43,
    21.107,    5.43,
    21.128,    5.43,
    21.149,    5.43,
    21.170,    5.44,
    21.191,    5.44,
    21.212,    5.44,
    21.233,    5.43,
    21.254,    5.42,
    21.275,    5.42,
    21.296,    5.42,
    21.317,    5.42,
    21.338,    5.42,
    21.359,    5.41,
    21.380,    5.41,
    21.401,    5.41,
    21.422,    5.41,
    21.443,    5.41,
    21.464,    5.42,
    21.485,    5.44,
    21.506,    5.46,
    21.527,    5.49,
    21.548,    5.51,
    21.569,    5.54,
    21.590,    5.57,
    21.611,    5.60,
    21.632,    5.63,
    21.653,    5.66,
    21.674,    5.68,
    21.695,    5.68,
    21.716,    5.69,
    21.737,    5.70,
    21.758,    5.70,
    21.779,    5.69,
    21.800,    5.68,
    21.821,    5.66,
    21.842,    5.65,
    21.863,    5.64,
    21.884,    5.62,
    21.905,    5.61,
    21.926,    5.59,
    21.947,    5.58,
    21.968,    5.56,
    21.989,    5.54,
    22.010,    5.52,
    22.031,    5.50,
    22.052,    5.48,
    22.073,    5.46,
    22.094,    5.43,
    22.115,    5.41,
    22.136,    5.38,
    22.157,    5.36,
    22.178,    5.34,
    22.199,    5.32,
    22.220,    5.30,
    22.241,    5.28,
    22.262,    5.26,
    22.283,    5.24,
    22.304,    5.22,
    22.325,    5.21,
    22.346,    5.20,
    22.367,    5.19,
    22.388,    5.18,
    22.409,    5.18,
    22.430,    5.18,
    22.451,    5.19,
    22.472,    5.21,
    22.493,    5.23,
    22.514,    5.27,
    22.535,    5.32,
    22.556,    5.37,
    22.577,    5.42,
    22.598,    5.46,
    22.619,    5.51,
    22.640,    5.55,
    22.661,    5.59,
    22.682,    5.61,
    22.703,    5.61,
    22.724,    5.60,
    22.745,    5.58,
    22.766,    5.55,
    22.787,    5.53,
    22.808,    5.51,
    22.829,    5.49,
    22.850,    5.47,
    22.871,    5.44,
    22.892,    5.42,
    22.913,    5.40,
    22.934,    5.39,
    22.955,    5.38,
    22.976,    5.37,
    22.997,    5.37,
    23.018,    5.36,
    23.039,    5.34,
    23.060,    5.33,
    23.081,    5.32,
    23.102,    5.31,
    23.123,    5.29,
    23.144,    5.28,
    23.165,    5.27,
    23.186,    5.26,
    23.207,    5.25,
    23.228,    5.24,
    23.249,    5.24,
    23.270,    5.23,
    23.291,    5.22,
    23.312,    5.22,
    23.333,    5.21,
    23.354,    5.20,
    23.375,    5.19,
    23.396,    5.19,
    23.417,    5.20,
    23.438,    5.21,
    23.459,    5.22,
    23.480,    5.25,
    23.501,    5.28,
    23.522,    5.32,
    23.543,    5.35,
    23.564,    5.39,
    23.585,    5.43,
